"","Item.Type","Publication.Year","Author","Title","Publication.Title","DOI"
"90","journalArticle",2022,"Ren, Lingyan; Zeng, Fanchun; Deng, Jiezhong; Bai, Yun; Chen, Kun; Chen, Long; Sun, Li","inflammatory osteoclasts-derived exosomes promote bone formation by selectively transferring lncrna lioce into osteoblasts to interact with and stabilize osterix","faseb journal","10.1096/fj.202101106RR"
"92","journalArticle",2020,"Shi, Youxing; Kang, Xia; Wang, Yunjiao; Bian, Xuting; He, Gang; Zhou, Mei; Tang, Kanglai","exosomes derived from bone marrow stromal cells (bmscs) enhance tendon-bone healing by regulating macrophage polarization","medical science monitor","10.12659/MSM.923328"
"93","journalArticle",2023,"Pan, Shaowei; Yin, Zhaowei; Shi, Chen; Xiu, Haonan; Wu, Guanfu; Heng, Yongyuan; Zhu, Zhangyu; Zhang, Jing; Gui, Jianchao; Yu, Ziyi; Liang, Bin","multifunctional injectable hydrogel microparticles loaded with mir-29a abundant bmscs derived exosomes enhanced bone regeneration by regulating osteogenesis and angiogenesis","small","10.1002/smll.202306721"
"94","journalArticle",2022,"Gao, Wenling; Deng, Jintao; Ren, Jianhua; Zhang, Wenhui; Wang, Zhe; He, Ronghan; Wang, Kun; Shi, Xuetao; Liang, Tangzhao","3d-printed hydroxyapatite (ha) scaffolds combined with exos from bmscs cultured in 3d ha scaffolds to repair bone defects","composites part b-engineering","10.1016/j.compositesb.2022.110315"
"95","journalArticle",2019,"Kuang, Ming-jie; Huang, Ying; Zhao, Xi-ge; Zhang, Rui; Ma, Jian-xiong; Wang, Da-chuan; Ma, Xin-long","exosomes derived from wharton's jelly of human umbilical cord mesenchymal stem cells reduce osteocyte apoptosis in glucocorticoid-induced osteonecrosis of the femoral head in rats via the mir-21-pten-akt signalling pathway","international journal of biological sciences","10.7150/ijbs.32262"
"96","journalArticle",2019,"Maruyama, Masahiro; Lin, Tzuhua; Pan, Chi-Chun; Moeinzadeh, Seyedsina; Takagi, Michiaki; Yang, Yunzhi Peter; Goodman, Stuart B.","cell-based and scaffold-based therapies for joint preservation in early-stage osteonecrosis of the femoral head a review of basic research","jbjs reviews","10.2106/JBJS.RVW.18.00202"
"97","journalArticle",2022,"Han, Lei; Liu, Hong; Fu, Huajun; Hu, Yugen; Fang, Weili; Liu, Junsheng","exosome-delivered bmp-2 and polyaspartic acid promotes tendon bone healing in rotator cuff tear via smad/runx2 signaling pathway","bioengineered","10.1080/21655979.2021.2019871"
"98","journalArticle",2021,"Komatsu, David E.; Duque, Edie; Hadjiargyrou, Michael","micrornas and fracture healing: pre-clinical studies","bone","10.1016/j.bone.2020.115758"
"99","journalArticle",2023,"Tong, Xiaopeng; Xu, Yan; Zhang, Tao; Deng, Chao; Xun, Jinrui; Sun, Deyi; Xu, Daqi","exosomes from cd133+ human urine-derived stem cells combined adhesive hydrogel facilitate rotator cuff healing by mediating bone marrow mesenchymal stem cells","journal of orthopaedic translation","10.1016/j.jot.2023.02.002"
"100","journalArticle",2020,"Wang, Li; Wang, Jian; Zhou, Xiangbin; Sun, Jie; Zhu, Biao; Duan, Cuimi; Chen, Peng; Guo, Ximin; Zhang, Tong; Guo, Hongyan","a new self-healing hydrogel containing hucmsc-derived exosomes promotes bone regeneration","frontiers in bioengineering and biotechnology","10.3389/fbioe.2020.564731"
"101","journalArticle",2023,"Zhou, Yi; Deng, Guozhen; She, Hongjiang; Bai, Fan; Xiang, Bingyan; Zhou, Jian; Zhang, Shuiqin","polydopamine-coated biomimetic bone scaffolds loaded with exosomes promote osteogenic differentiation of bmsc and bone regeneration","regenerative therapy","10.1016/j.reth.2023.03.005"
"102","journalArticle",2023,"Wei, Fei; Mu, Yuqing; Tan, Richard P.; Wise, Steven G.; Bilek, Marcela M.; Zhou, Yinghong; Xiao, Yin","osteo-immunomodulatory role of interleukin-4-immobilized plasma immersion ion implantation membranes for bone regeneration","acs applied materials & interfaces","10.1021/acsami.2c17005"
"103","journalArticle",2022,"Ping, Jianfeng; Li, Laifeng; Dong, Yongqiang; Wu, Xudong; Huang, Xiaogang; Sun, Bin; Zeng, Bin; Xu, Fangming; Liang, Wenqing","the role of long non-coding rnas and circular rnas in bone regeneration: modulating mirnas function","journal of tissue engineering and regenerative medicine","10.1002/term.3277"
"104","journalArticle",2020,"Chen, Gaoyang; Wang, Qingyu; Li, Zhaoyan; Yang, Qiwei; Liu, Yuzhe; Du, Zhenwu; Zhang, Guizhen; Song, Yang","circular rna cdrlas promotes adipogenic and suppresses osteogenic differentiation of bmscs in steroid-induced osteonecrosis of the femoral head","bone","10.1016/j.bone.2020.115258"
"105","journalArticle",2017,"Hao, Zi-Chen; Lu, Jun; Wang, Shan-Zheng; Wu, Hao; Zhang, Yun-Tong; Xu, Shuo-Gui","stem cell-derived exosomes: a promising strategy for fracture healing","cell proliferation","10.1111/cpr.12359"
"122","journalArticle",2023,"Wang, Yuan; Qin, Wan-Yun; Wang, Qi; Liu, Xin-Na; Li, Xiang-Hui; Ye, Xin-Qi; Bai, Ying; Zhang, Yan; Liu, Pan; Wang, Xin-Lin; Zhou, Yu-Hang; Yuan, Hui-Ping; Shao, Zheng-Bo","young sca-1+ bone marrow stem cell-derived exosomes preserve visual function via the mir-150-5p/mekk3/jnk/c-jun pathway to reduce m1 microglial polarization","journal of nanobiotechnology","10.1186/s12951-023-01944-w"
"126","journalArticle",2022,"Zhang, Mingming; Li, Yi; Feng, Taojin; Li, Ran; Wang, Zhongqi; Zhang, Licheng; Yin, Pengbin; Tang, Peifu","bone engineering scaffolds with exosomes: a promising strategy for bone defects repair","frontiers in bioengineering and biotechnology","10.3389/fbioe.2022.920378"
"136","journalArticle",2023,"Huang, Jinming; Li, Yi; Zhu, Siyi; Wang, Liqiong; Yang, Lin; He, Chengqi","mir-30 family: a novel avenue for treating bone and joint diseases?","international journal of medical sciences","10.7150/ijms.81990"
"148","journalArticle",2020,"Liu, Shi-Bo; Liu, Xian","[review for different sources of exosomes in bone tissue engineering research]","hua xi kou qiang yi xue za zhi = huaxi kouqiang yixue zazhi = west china journal of stomatology","10.7518/hxkq.2020.02.014"
"149","journalArticle",2023,"Frade, Bianca Braga; Dias, Rhayra Braga; Gemini Piperni, Sara; Bonfim, Danielle Cabral","the role of macrophages in fracture healing: a narrative review of the recent updates and therapeutic perspectives","stem cell investigation","10.21037/sci-2022-038"
"152","journalArticle",2023,"Mousavi, Elnaz; Khosravi, Armin; Sedigh, Somaye Salari; Mayanei, Sayad Ayub Tabatabaei; Banakar, Morteza; Karimzadeh, Moslem; Fathi, Amirhossein","exosomes derived from mesenchymal stem cells: heralding a new treatment for periodontitis?","tissue & cell","10.1016/j.tice.2023.102070"
"154","journalArticle",2023,"Grelewski, Piotr Grzegorz; Kwaśnicka, Monika; Bar, Julia Krystyna","properties of scaffolds as carriers of mesenchymal stem cells for use in bone engineering","polimery w medycynie","10.17219/pim/166471"
"171","journalArticle",2023,"Choi, Joo-Hee; Sung, Soo-Eun; Kang, Kyung-Ku; Lee, Sijoon; Sung, Minkyoung; Park, Wook-Tae; Kim, Young In; Seo, Min-Soo; Lee, Gun Woo","extracellular vesicles from human adipose tissue-derived mesenchymal stem cells suppress rankl-induced osteoclast differentiation via mir122-5p","biochemical genetics","10.1007/s10528-023-10569-5"
"191","journalArticle",2022,"Rehman, Fawad Ur; Liu, Yang; Yang, Qingshan; Yang, Haoying; Liu, Runhan; Zhang, Dongya; Muhammad, Pir; Liu, Yanjie; Hanif, Sumaira; Ismail, Muhammad; Zheng, Meng; Shi, Bingyang","heme oxygenase-1 targeting exosomes for temozolomide resistant glioblastoma synergistic therapy","journal of controlled release: official journal of the controlled release society","10.1016/j.jconrel.2022.03.036"
"201","journalArticle",2021,"Wu, Yunfei; Li, Jun; Yuan, Rui; Deng, Zihui; Wu, Xu","bone marrow mesenchymal stem cell-derived exosomes alleviate hyperoxia-induced lung injury via the manipulation of microrna-425","archives of biochemistry and biophysics","10.1016/j.abb.2020.108712"
"203","journalArticle",2024,"Ma, Shiqing; Ma, Beibei; Yang, Yilin; Mu, Yuzhu; Wei, Pengfei; Yu, Xueqiao; Zhao, Bo; Zou, Zhenyu; Liu, Zihao; Wang, Minggang; Deng, Jiayin","functionalized 3d hydroxyapatite scaffold by fusion peptides-mediated small extracellular vesicles of stem cells for bone tissue regeneration","acs applied materials & interfaces","10.1021/acsami.3c13273"
"204","journalArticle",2015,"Wang, Yan; Lu, Xingyan; He, Juan; Zhao, Weihong","influence of erythropoietin on microvesicles derived from mesenchymal stem cells protecting renal function of chronic kidney disease","stem cell research & therapy","10.1186/s13287-015-0095-0"
